Address,Latitude,Longitude
806 WASHINGTON AVE S,46.34652,-124.052704
93 ALEXANDER ROAD,46.658295,-123.66131
2304 265TH PL,46.49421,-124.041664
136 WILSON LANE,46.639034,-123.934395
31200 N PL,46.52797,-124.05056
3561 STATE ROUTE 105,46.7448,-124.08027
1203 PARK AVENUE,46.69339,-123.74775
720 WASHINGTON AVENUE,46.67731,-123.742355
20718 CRANE PLACE,46.452137,-124.0364
20217 P PL,46.448177,-124.05002
41 RUE CREEK ROAD,46.621906,-123.64842
3035 OLDANI ROAD,46.668446,-123.69634
1060 FOWLER STREET,46.672886,-123.739365
35708 G STREET,46.5606,-124.05918
1901 196TH ST,46.44373,-124.04862
29306 O STREET,46.514053,-124.04966
269 ELK CREEK ROAD,46.716133,-123.708381
3244 SIENKO RD,46.666767,-123.6938
15 BEZEMER ROAD,46.691383,-123.68608
2000 224TH PLACE,46.464447,-124.04589
1051 SUMMIT AVENUE,46.672054,-123.784
708 PETERS ST,46.677086,-123.744545
21609 SANDRIDGE ROAD,46.458286,-124.02962
8 HYLAND-STRINGER ROAD,46.585682,-123.63195
3490 UDD ROAD,46.67252,-123.692215
2103 265TH PL,46.494247,-124.04369
1501 LARCH ST,46.698586,-123.73952
17010 SANDRIDGE ROAD,46.42468,-124.02102
29007 N STREET,46.512524,-124.050804
28332 SANDRIDGE RD,46.508926,-124.03231
9003 SANDRIDGE ROAD,46.367542,-124.02756
29716 H STREET,46.5182,-124.056177
29514 K PL,46.51604,-124.05354
28707 SANDRIDGE ROAD,46.50972,-124.031364
30016 M PLACE,46.51989,-124.05174
841 CROSSING ST,46.676792,-123.7034
2257 BUSH AVENUE,46.695374,-123.73409
17 GOLDAU ROAD,46.587757,-123.62177
889 CHINOOK VALLEY RD,46.322605,-123.99286
2720 212TH PLACE,46.4547,-124.03871
31308 J PL,46.528877,-124.05396
33609 I STREET,46.54553,-124.055435
2720 212TH PLACE,46.4547,-124.03871
31006 O PLACE,46.526894,-124.04937
169 N VALLEY ROAD,46.37373,-123.76675
38 HYLAND STRINGER RD,46.5888,-123.63211
2610 SEA CREST AVE N,46.371774,-124.054167
9 RHODESIA BEACH,46.613161,-123.9545
2827 233RD LANE,46.47033,-124.03743
263 RAYMOND SOUTH BEND RD,46.666243,-123.768762
3553 LOUDERBACK ROAD,46.675312,-123.69001
23812 J PLACE,46.513123,-124.05483
1311 314TH PLACE,46.529613,-124.05214
3409 224TH PL,46.464356,-124.030919
495 PARPALA RD,46.3955,-123.85047
28602 X LANE,46.510147,-124.040306
16 HUNGRY HARBOR LANE,46.263153,-123.84551
1345 BELMONT RD,46.67202,-123.69142
30205 M PLACE,46.520767,-124.051735
1043 HOWARD STREET,46.693512,-123.74662
7010 CAPT GRAY DR,46.31698,-124.00449
34900 STACKPOLE RD,46.570583,-124.034195
16 HUNGRY HARBOR LANE,46.263153,-123.84551
952 BRADFORD STREET,46.67405,-123.745804
237 14TH STREET,46.68535,-123.72082
945 CLAY STREET,46.674606,-123.7181
3303 SIENKO ROAD,46.66674,-123.693825
4012 155TH ST,46.413853,-124.022385
950 STATE ROUTE 4,46.675613,-123.76342
109 23RD STREET NE,46.3689,-124.05327
1504 SE IDAHO ST,46.34246,-124.05254
2007 41ST PL,46.332245,-124.047615
1103 WILLAPA AVENUE,46.660652,-123.83057
55 GILES LN,46.693638,-123.85282
2906 217TH STREET,46.45876,-124.03726
3304 238TH PLACE,46.47436,-124.030685
1878 STATE ROUTE 6,46.556463,-123.61059
2742 STATE ROUTE 6,46.542366,-123.50649
811 353RD PLACE,46.55807,-124.0562
1409 295TH STREET,46.515846,-124.050514
211 13TH STREET,46.68486,-123.72188
4550 WILLAPA RD,46.670082,-123.67691
805 DURYEA STREET,46.686615,-123.72725
88 ALEXANDER ROAD,46.658417,-123.66153
2604 SEACREST AVENUE NORTH,46.37128,-124.05444
17 GOLDAU ROAD,46.587757,-123.62177
23716 J PL,46.47486,-124.05519
19408 K PL,46.442593,-124.05568
3721 PACIFIC WAY,46.329693,-124.05497
1071 STATE ROUTE 4 UNIT 342A,46.36394,-123.77006
901 344TH STREET,46.55108,-124.05492
3019 STATE ROUTE 105,46.764977,-124.082924
790 GARDEN STREET,46.677666,-123.70548
1501 179TH PLACE,46.431973,-124.051865
7 HOLM LANE,46.396847,-123.83624
416 WELSH STREET,46.67942,-123.738556
2034 HARVARD STREET,46.675465,-123.710304
709 OLIVE ST,46.67684,-123.70945
5504 SANDRIDGE RD,46.34241,-124.04188
3616 102ND ST,46.37542,-124.03049
727 WILLAPA SECOND STREET,46.676964,-123.66528
24908 J PLACE,46.482292,-124.055466
757 WILLAPA RD,46.677057,-123.668925
385 MONOHON LANDING ROAD,46.690704,-123.69438
1345 BELMONT RD,46.67202,-123.69142
60 BURKE RD,46.77969,-123.4832
6610 SANDRIDGE ROAD,46.35033,-124.03326
727 WILLAPA SECOND STREET,46.676964,-123.66528
32110 K PLACE,46.536858,-124.05302
1501 179TH PLACE,46.431973,-124.051865
24618 BIRCH PL,46.47973,-124.037094
220 BUTTE CREEK ROAD,46.710365,-123.73855
959 BARNHART STREET,46.67408,-123.742
2827 233RD LANE,46.47033,-124.03743
17 MAPLE LEAF STREET,46.62633,-123.652054
2720 212TH PLACE,46.4547,-124.03871
28707 SANDRIDGE ROAD,46.50972,-124.031364
1420 PORTOLA AVENUE,46.697334,-123.74239
1128 STATE RT 6,46.614353,-123.64229
3616 102ND ST,46.37542,-124.03049
1306 324TH PLACE,46.537018,-124.05125
30016 U PLACE,46.519753,-124.04309
6407 V PLACE,46.34852,-124.044945
6810 V PL,46.351997,-124.044395
239 25TH STREET NW,46.370149,-124.060935
631 STATE ROUTE 6,46.650143,-123.67285
942 FOWLER STREET,46.674156,-123.7395
27812 M PLACE,46.50389,-124.051735
48 UPPER NASELLE RD,46.367596,-123.77097
1020 MUELLER ST,46.674263,-123.70789
5811 SANDRIDGE ROAD,46.34428,-124.04146
321 12TH STREET,46.685932,-123.722946
23 PARPALA ROAD,46.36648,-123.814575
26607 VERNON AVENUE,46.49537,-124.04989
2007 41ST PL,46.332245,-124.047615
1811 226TH PLACE,46.46587,-124.047134
1018 DURYEA STREET,46.686626,-123.724724
263 JOE ROCKEY ROAD,46.662807,-123.73349
5 TORPPA ROAD,46.37403,-123.80231
514 MONOHON LANDING ROAD,46.687588,-123.68028
30911 L PL,46.526073,-124.052345
936 VIRGINIA ST,46.67245,-123.78097
25006 Z PL,46.483757,-124.038734
750 BALLENTINE STREET,46.676697,-123.74079
29522 N STREET,46.51614,-124.05066
1103 WILLAPA AVENUE,46.660652,-123.83057
2805 228TH PLACE,46.467033,-124.03771
2257 BUSH AVENUE,46.695374,-123.73409
2323 HECKARD ROAD,46.658745,-123.681
1135 WATER STREET,46.69412,-123.73826
15024 PACIFIC WAY,46.41116,-124.05219
852 FIR STREET,46.68182,-123.74839
29519 G STREET,46.51629,-124.05706
703 BRADFORD ST,46.677105,-123.74581
422 FRANKLIN ST,46.68884,-123.73222
2102 229TH PL,46.467983,-124.04485
2597 NORTH RIVER ROAD,46.775665,-123.520096
1011 POPLAR LANE,46.67337,-123.74894
429 3RD ST,46.68699,-123.733345
1901 196TH ST,46.44373,-124.04862
1110 187TH PLACE,46.437744,-124.054405
144 MONOHON LANDING RD,46.69583,-123.72729
4304 166TH LN,46.421978,-124.02391
3561 STATE ROUTE 105,46.7448,-124.08027
828 MAY STREET,46.67553,-123.73828
2280 STATE RT 6,46.560072,-123.562256
921 BIRD AVENUE,46.67446,-123.71565
3698 LARKIN RD,46.73991,-124.07691
27895 Y PLACE,46.503487,-124.039375
4 MARTIN LANE,46.61594,-123.64437
4404 SANDRIDGE RD,46.3350587,-124.0435644
4 VIKING WAY,46.624496,-123.65088
7 POLLARI ROAD,46.68233,-123.77571
25009 Z PLACE,46.48376,-124.03875
602 BARNHART STREET,46.67846,-123.742065
2327 SANDELL,46.674767,-123.70583
20003 SANDRIDGE ROAD,46.447006,-124.02646
948 COLE AVENUE,46.6747,-123.687164
226 ASH ST,46.68363,-123.74934
1230 FOWLER STREET,46.670612,-123.739204
1608 222ND PLACE,46.463093,-124.05064
1501 186TH LANE,46.436928,-124.05199
8005 SANDRIDGE ROAD,46.360344,-124.02886
1121 CEDAR STREET,46.693977,-123.74062
29011 S LANE,46.512367,-124.04585
1206 320TH PLACE,46.53414,-124.05053
1410 301ST PLACE,46.520546,-124.051506
17511 MILL LN,46.42848,-124.027176
15 WILSON LANE,46.636772,-123.92196
1302 324TH PLACE,46.537018,-124.05128
4340 WILLAPA ROAD,46.670128,-123.680504
1414 194TH PL,46.4430635,-124.0520469
97 HYLAND STRINGER RD,46.586918,-123.64256
1043 HOWARD STREET,46.693512,-123.74662
2405 BAY AVENUE,46.49156,-124.041016
2610 SEA CREST AVE N,46.371774,-124.054167
214 FIR STREET,46.683147,-123.74844
2217 227TH PLACE,46.466507,-124.04442
29007 N STREET,46.512524,-124.050804
106 24TH STREET NE,46.369553,-124.05324
21107 PACIFIC WAY,46.455173,-124.05297
1304 TOWER AVENUE,46.687504,-123.722176
23819 HOPE PLACE,46.47454,-124.03081
27618 X LANE,46.502098,-124.04036
3019 STATE ROUTE 105,46.764977,-124.082924
1063 SUMMIT AVENUE,46.67219,-123.783844
1120 LUDINGTON AVENUE,46.673847,-123.68895
2702 SEA CREST AVENUE,46.3723079,-124.054142
14408 BIRCH STREET,46.40602,-124.039024
214 KNAPPTON ROAD,46.356762,-123.81234
430 FIRST ST #209,46.687046,-123.73573
1210 DURYEA STREET,46.686665,-123.722786
57 ELK PRAIRIE ROAD,46.540417,-123.52241
2015 226TH PL,46.465866,-124.04579
39 FRANCIS ROAD,46.54276,-123.51614
269 MILL CREEK ROAD,46.646172,-123.620771
1128 STATE RT 6,46.614353,-123.64229
3303 102ND PLACE,46.375416,-124.03216
945 CLAY STREET,46.674606,-123.7181
23412 BIRCH PL,46.470448,-124.03757
819 BALLENTINE STREET,46.675766,-123.74077
945 CLAY STREET,46.674606,-123.7181
1105 WILLAPA STREET,46.69384,-123.74184
4807 SANDRIDGE RD,46.33723,-124.04309
1909 196TH ST,46.44373,-124.04857
303 8TH STREET,46.685722,-123.727356
22701 U ST,46.466637,-124.04496
32301 Q STREET,46.536255,-124.04756
4466 TRESIZE ROAD,46.679344,-123.68211
501 SHOREVIEW DR S #403,46.34808,-124.05819
1404 167TH LN,46.422676,-124.053764
584 ASH STREET,46.6786643,-123.7498384
14 SUNSET RD,46.609267,-123.9570114
918 FOWLER ST,46.67442,-123.7395
220 BUTTE CREEK ROAD,46.710365,-123.73855
35008 J PL,46.55734,-124.05385
27309 SANDRIDGE ROAD,46.499702,-124.03348
471 BAY CENTER ROAD,46.622235,-123.953127
102 RAFF ROAD,46.38315,-123.73018
1319 LACKIE ROAD,46.668972,-123.68802
30111 G STREET,46.520164,-124.05708
57 BUTZ RD,46.647747,-123.64042
15410 SANDRIDGE RD,46.413067,-124.022224
1450 ARMSTRONG ROAD,46.669193,-123.678474
705 MAY STREET,46.676983,-123.73827
374 WEAVER AVENUE,46.66992,-123.73745
30510 SANDRIDGE RD,46.522846,-124.03073
702 CHERRY STREET,46.677956,-123.72101
2726 212TH PLACE,46.45474,-124.03867
2720 212TH PLACE,46.4547,-124.03871
1301 120TH PLACE,46.38893,-124.05511
2710 SEA CREST AVE,46.373021,-124.05411
2998 ALEXSON ROAD,46.765533,-124.080505
2721 STATE ROUTE 6,46.54297,-123.50962
327 JOE ROCKY ROAD,46.662804,-123.732956
21107 PACIFIC WAY,46.455173,-124.05297
4404 SANDRIDGE RD,46.3350587,-124.0435644
991 LUDINGTON AVE,46.6749321,-123.6889416
32702 G STREET,46.53867,-124.05808
13509 SANDRIDGE ROAD,46.3993,-124.02374
2605 NORTH RIVER RD,46.77565,-123.51925
1201 187TH PLACE,46.437756,-124.05447
501 12TH STREET APT #1,46.687984,-123.72297
2114 MICHIGAN AVENUE,46.676006,-123.7608
190 N NEMAH ROAD EAST,46.514538,-123.866745
30504 L PL,46.523727,-124.05236
1051 SUMMIT AVENUE,46.672054,-123.784
1409 295TH STREET,46.515846,-124.050514
9800 ELM PLACE,46.37308,-124.036215
44 UPPER NASELLE RD,46.36748,-123.771416
3202 318TH STREET,46.534164,-124.03187
859 PETERS STREET,46.675312,-123.744545
758 MAY STREET,46.67651,-123.73829
20813 CRANE PLACE,46.45187,-124.03773
1624 STATE ROUTE 401,46.35353,-123.81551
341 JOE ROCKY ROAD,46.662804,-123.73284
306 11TH STREET,46.6858,-123.72402
1015 227TH LN #150,46.467056,-124.055534
1133 BALLENTINE STREET,46.67188,-123.74071
2743 EMERSON AVE,46.54256,-123.5046
29408 O STREET,46.514576,-124.049644
1234 WATER ST,46.694935,-123.73829
758 MAY STREET,46.67651,-123.73829
801 DURYEA ST,46.686615,-123.727295
2705 233RD LANE,46.470352,-124.038376
5650 US HWY 101,46.511112,-123.885994
722 WILLAPA AVENUE,46.660343,-123.820823
524 LEE JOHNSON ROAD,46.667057,-123.737656
2805 228TH PLACE,46.467033,-124.03771
1608 WASHINGTON AVENUE SOUTH,46.341553,-124.053535
31308 J PL,46.528877,-124.05396
416 WELSH STREET,46.67942,-123.738556
1556 STATE ROUTE 401,46.3432,-123.81394
1100 322ND ST,46.535313,-124.05423
28440 Z LANE,46.508266,-124.03865
2825 234TH LN,46.470978,-124.0368
123 TRAP CREEK LANE,46.547203,-123.61614
1235 FOWLER ROAD,46.66956,-123.739395
15003 BIRCH ST,46.41018,-124.03916
2115 282ND LN,46.50669,-124.04356
1305 198TH PL,46.445892,-124.054054
32304 T PLACE,46.53604,-124.04398
75 ELK CREEK ROAD,46.70739,-123.7125
1301 120TH PLACE,46.38893,-124.05511
1102 DIVISION AVE,46.671764,-123.71431
1508 187TH PLACE,46.43773,-124.052055
1010 CROSSING ST,46.674866,-123.70374
300 PARPALA ROAD,46.381123,-123.84121
1720 STATE ROUTE 105,46.69372,-123.74154
754 WILLAPA SECOND ST,46.677036,-123.66738
1703 222ND PL,46.463097,-124.050224
19405 K PLACE,46.442665,-124.056009
3007 247TH PLACE,46.481167,-124.03441
27618 X LANE,46.502098,-124.04036
820 CALIFORNIA STREET,46.665894,-123.78462
427 WEAVER AVENUE,46.669926,-123.73817
214 FIR STREET,46.683147,-123.74844
5 TORPPA ROAD,46.37403,-123.80231
32202 DOUGLAS DR,46.535915,-124.033066
3700 OLDANI ROAD,46.668488,-123.6877
31304 O PLACE,46.528786,-124.049324
27702 O PLACE,46.503384,-124.05001
29503 JOY LANE,46.515274,-124.02777
1601 WASHINGTON AVENUE N,46.362816,-124.051186
1063 SUMMIT AVENUE,46.67219,-123.783844
1911 CALIFORNIA AVENUE S,46.339775,-124.05563
1002 BARNHART,46.673607,-123.742004
1 ULLAKKO RD,46.35097,-123.81263
48 UPPER NASELLE RD,46.367596,-123.77097
735 FOWLER STREET,46.676865,-123.73951
176 WARD CREEK,46.689484,-123.65588
1251 RAYMOND-SOUTH BEND RD,46.674133,-123.74905
3811 CRANBERRY RD,46.395924,-124.02847
29 RICHTER ROAD,46.62302,-123.65495
105 DIXON ROAD,46.74969,-123.76045
26109 Z STREET,46.49059,-124.03906
1010 WILLAPA FIRST,46.673839,-123.668618
29318 S LANE,46.514668,-124.04576
20215 P PLACE,46.448166,-124.05002
805 OYSTERVILLE ROAD,46.54797,-124.05644
2280 STATE RT 6,46.560072,-123.562256
2810 219TH ST,46.46044,-124.03713
1121 CEDAR STREET,46.693977,-123.74062
1158 BALLENTINE ST,46.671623,-123.74071
140 28TH ST NW,46.3736808,-124.0556007
109 23RD STREET NE,46.3689,-124.05327
2802 225TH PLACE,46.46537,-124.03729
706 BRADFORD STREET,46.677063,-123.74582
813 BLAKE STREET,46.68467,-123.72721
15603 SANDRIDGE ROAD,46.41406,-124.02213
14918 SANDRIDGE RD,46.409595,-124.02256
274 STATE ROUTE 105,46.68232,-123.762758
2591 NORTH RIVER ROAD,46.775684,-123.52073
32304 T PLACE,46.53604,-124.04398
7 KASANDRA LN,46.371834,-123.76866
2003 CRANBERRRY ROAD,46.39523,-124.04656
2868 STATE ROUTE 6,46.540955,-123.49464
29524 I ST,46.51627,-124.05513
31107 L ST,46.527664,-124.05284
950 STATE ROUTE 4,46.675613,-123.76342
819 BALLENTINE STREET,46.675766,-123.74077
101 ELKHORN RD,46.778465,-123.72841
1036 BARNHART ST,46.67324,-123.742004
431 STRINGTOWN ROAD,46.321594,-124.00928
15603 SANDRIDGE ROAD,46.41406,-124.02213
3204 113TH LANE,46.383907,-124.03442
9303 SANDRIDGE RD,46.369335,-124.027466
6407 V PLACE,46.34852,-124.044945
1203 QUINAULT ST,46.6768177,-123.719811
20619 BIRCH PLACE,46.451237,-124.03911
31307 SANDRIDGE ROAD,46.52935,-124.03069
236 13TH STREET,46.68508,-123.72189
133 FALL RIVER ROAD,46.766045,-123.51471
2800 224TH STREET,46.4642,-124.03795
305 14TH STREET,46.685623,-123.72083
21411 Q LN,46.45802,-124.04973
1108 303RD PLACE,46.521534,-124.052666
50 HINES VALLEY ROAD,46.686554,-123.780754
7 HOLM LANE,46.396847,-123.83624
30700 M PL,46.52428,-124.051254
622 HEATH STREET,46.68335,-123.7292
1212 BELMONT ROAD,46.672073,-123.691444
1450 ARMSTRONG ROAD,46.669193,-123.678474
3002 202ND PLACE,46.447865,-124.03626
556 MILL CREEK ROAD,46.629566,-123.59635
2818 228TH LANE,46.466965,-124.0376
30501 K PL,46.52331,-124.053444
6902 ROCHELLE WAY,46.317463,-124.00585
36 OVERMEYER ROAD,46.696938,-123.70673
31605 I ST #G,46.530857,-124.05542
29206 O STREET,46.513542,-124.049675
56 AIRPORT ROAD,46.68467,-123.783066
31512 J PLACE,46.530373,-124.05393
52 NASELLE ROAD,46.37455,-123.802635
1262 STATE ROUTE 6,46.604496,-123.63017
32 VIKING WAY,46.622646,-123.65094
20721 CRANE PLACE,46.45173,-124.03776
10179 US HWY 101,46.742626,-123.746086
1428 232ND LN,46.47041,-124.053314
319 SID SNYDER DRIVE,46.345886,-124.05104
711 TAFT AVENUE,46.67105,-123.7415
555 MUELLER STREET,46.677654,-123.707375
2104 KLAHANEE DRIVE SW,46.305077,-124.051315
160 NORTH NEMAH ROAD,46.515846,-123.87113
307 MILL CREEK ROAD,46.647335,-123.64217
661 COLE AVENUE,46.677937,-123.68534
214 KNAPPTON ROAD,46.356762,-123.81234
1234 SHERMAN AVE,46.68326,-123.74888
17511 MILL LN,46.42848,-124.027176
2707 234TH LN,46.471,-124.037735
711 PLUM STREET,46.67633,-123.7197
5706 SCHOOL STREET,46.676384,-123.66409
777 WILLAPA FIRST STREET,46.67664,-123.66835
488 STATE ROUTE 6,46.657143,-123.68519
1707 HECKARD ROAD,46.666725,-123.6777
1026 BALLENTINE STREET,46.67325,-123.74075
10 WASHINGTON CEMETERY RD,46.69611,-123.72903
32101 G STREET,46.534687,-124.05788
819 BALLENTINE STREET,46.675766,-123.74077
2403 265TH PLACE,46.494213,-124.04123
527 MCKINLEY AVE,46.672287,-123.74017
811 353RD PLACE,46.55807,-124.0562
176 WARD CREEK,46.689484,-123.65588
1410 275TH PL,46.50175,-124.0516
21411 Q LN,46.45802,-124.04973
1805 PARK AVENUE,46.693737,-123.7405
1172 STATE ROUTE 4,46.35672,-123.760261
1367 STATE ROUTE 4,46.35447,-123.73683
2311 275TH LN,46.501278,-124.042175
32400 DOUGLAS DR,46.537186,-124.032906
28707 SANDRIDGE ROAD,46.50972,-124.031364
274 STATE ROUTE 105,46.68232,-123.762758
820 CALIFORNIA STREET,46.665894,-123.78462
832 FOWLER STREET,46.675644,-123.73952
30808 G STREET,46.525585,-124.05743
791 DEARBORN ST,46.676956,-123.76154
2615 357TH LANE,46.560802,-124.0357
2825 234TH LN,46.470978,-124.0368
27904 J LANE,46.503864,-124.05594
2201 300TH PL,46.519554,-124.042305
10179 US HWY 101,46.742626,-123.746086
35510 STACKPOLE ROAD,46.5756,-124.03291
31200 N PL,46.52797,-124.05056
2436 STATE RT 6,46.557957,-123.541466
10157 US HWY 101,46.747894,-123.74946
1608 OREGON AVE N,46.3629,-124.052666
107 NORTH VALLEY RD,46.371998,-123.77099
31200 N PL,46.52797,-124.05056
1450 ARMSTRONG ROAD,46.669193,-123.678474
774 SALMON CREEK RD,46.388012,-123.68362
2745 EMERSON AVENUE,46.542545,-123.50451
7003 ORTELIUS DRIVE,46.31895,-124.00438
6810 V PL,46.351997,-124.044395
1540 ARMSTRONG ROAD,46.668655,-123.6784
806 WASHINGTON AVE S,46.34652,-124.052704
5409 SCHOOL ST,46.67641,-123.66626
1192 STATE ROUTE 4,46.354911,-123.759188
2007 41ST PL,46.332245,-124.047615
1801 201ST ST,46.447575,-124.048325
1487 ANDERSON LANE,46.697067,-123.738884
3003 WILLAPA RD,46.672874,-123.69825
830 WILLAPA RD,46.67595,-123.669495
832 FOWLER STREET,46.675644,-123.73952
4209 STRATTON ROAD,46.671513,-123.68152
1206 320TH PLACE,46.53414,-124.05053
31102 O PLACE,46.52764,-124.049355
120 NORTH VALLEY RD,46.37196,-123.76887
2005 WASHINGTON AVENUE N,46.3668,-124.050995
110 SOUTH BEND PALIX ROAD,46.61254,-123.9067
2615 357TH LANE,46.560802,-124.0357
2807 225TH PL,46.46538,-124.037285
2987 STATE RT 6,46.551624,-123.53151
45 NEMAH VALLEY ROAD,46.51367,-123.85873
656 ELM STREET,46.677937,-123.74708
1613 PARK AVENUE,46.69372,-123.74284
269 ELK CREEK ROAD,46.716133,-123.708381
1420 48TH PLACE UNIT #B-4,46.336424,-124.05167
2902 212TH LANE,46.455788,-124.036575
27904 J LANE,46.503864,-124.05594
2375 COLORADO AVENUE,46.6746919,-123.7651099
2403 265TH PLACE,46.494213,-124.04123
4916 113TH STREET,46.383553,-124.02154
321 11TH STREET,46.685913,-123.724014
1613 PARK AVENUE,46.69372,-123.74284
24116 V LN,46.47745,-124.04348
1345 BELMONT RD,46.67202,-123.69142
33705 J PL,46.54562,-124.05418
11 ECKY LANE,46.365746,-123.78617
2605 NORTH RIVER RD,46.77565,-123.51925
1878 STATE ROUTE 6,46.556463,-123.61059
2115 282ND LN,46.50669,-124.04356
1104 WILLAPA STREET,46.69384,-123.74185
1042 CROSSING STREET,46.67483,-123.70374
27411 X LN,46.50047,-124.0406
24108 GILE PLACE,46.47712,-124.03112
17 GOLDAU ROAD,46.587757,-123.62177
1107 LAKE STREET,46.6727,-123.71686
3801 WILLAPA ROAD,46.672585,-123.686874
3303 SIENKO ROAD,46.66674,-123.693825
1148 PAULDING STREET,46.67257,-123.68292
611 LINCOLN,46.678593,-123.74102
2429 EVERGREEN PARK RD,46.788254,-124.07937
23829 ISLE PLACE,46.474632,-124.029884
4 NYBERG ROAD,46.346867,-123.812775
505 11TH STREET,46.688,-123.72404
140 KNAPPTON ROAD,46.350296,-123.81292
2705 SEA CREST AVE,46.3730038,-124.0543693
1504 268TH PL,46.496544,-124.04945
1320 179TH LANE,46.43196,-124.05165
3204 113TH LN,46.383907,-124.03442
15003 BIRCH ST,46.41018,-124.03916
818 FIR STREET,46.68224,-123.748405
34900 STACKPOLE RD,46.570583,-124.034195
1305 198TH PL,46.445892,-124.054054
